Tempos (ms),Tempo (s),Altura (m),g (m/sÂ²),,,Tempo,Gravidade
398,"0,398","0,62","7,83",,Media,"0,399","7,81"
397,"0,397","0,62","7,87",,Desv Pad,"0,006","0,24"
400,"0,400","0,62","7,75",,med_sup,"0,405","7,57"
388,"0,388","0,62","8,24",,med_inf,"0,393","8,05"
402,"0,402","0,62","7,67",,med,"0,399","7,80"
405,"0,405","0,62","7,56",,,med,"7,81"
409,"0,409","0,62","7,41",,,desv pad,"0,24"
402,"0,402","0,62","7,67",,,,
400,"0,400","0,62","7,75",,,,
410,"0,410","0,62","7,38",,,,
395,"0,395","0,62","7,95",,,,
403,"0,403","0,62","7,64",,,,
396,"0,396","0,62","7,91",,,,
400,"0,400","0,62","7,75",,,,
397,"0,397","0,62","7,87",,,,
392,"0,392","0,62","8,07",,,,
407,"0,407","0,62","7,49",,,,
401,"0,401","0,62","7,71",,,,
393,"0,393","0,62","8,03",,,,
399,"0,399","0,62","7,79",,,,
399,"0,399","0,62","7,79",,,,
398,"0,398","0,62","7,83",,,,
396,"0,396","0,62","7,91",,,,
404,"0,404","0,62","7,60", ,,,
394,"0,394","0,62","7,99",,,,
397,"0,397","0,62","7,87",,,,
409,"0,409","0,62","7,41",,,,
404,"0,404","0,62","7,60",,,,
393,"0,393","0,62","8,03",,,,
409,"0,409","0,62","7,41",,,,
399,"0,399","0,62","7,79",,,,
394,"0,394","0,62","7,99",,,,
407,"0,407","0,62","7,49",,,,
401,"0,401","0,62","7,71",,,,
405,"0,405","0,62","7,56",,,,
393,"0,393","0,62","8,03",,,,
396,"0,396","0,62","7,91",,,,
407,"0,407","0,62","7,49",,,,
409,"0,409","0,62","7,41",,,,
406,"0,406","0,62","7,52",,,,
391,"0,391","0,62","8,11",,,,
409,"0,409","0,62","7,41",,,,
390,"0,390","0,62","8,15",,,,
406,"0,406","0,62","7,52",,,,
390,"0,390","0,62","8,15",,,,
395,"0,395","0,62","7,95",,,,
402,"0,402","0,62","7,67",,,,
393,"0,393","0,62","8,03",,,,
398,"0,398","0,62","7,83",,,,
391,"0,391","0,62","8,11",,,,
408,"0,408","0,62","7,45",,,,
389,"0,389","0,62","8,19",,,,
401,"0,401","0,62","7,71",,,,
406,"0,406","0,62","7,52",,,,
399,"0,399","0,62","7,79",,,,
402,"0,402","0,62","7,67",,,,
405,"0,405","0,62","7,56",,,,
395,"0,395","0,62","7,95",,,,
391,"0,391","0,62","8,11",,,,
394,"0,394","0,62","7,99",,,,
398,"0,398","0,62","7,83",,,,
404,"0,404","0,62","7,60",,,,
403,"0,403","0,62","7,64",,,,
392,"0,392","0,62","8,07",,,,
392,"0,392","0,62","8,07",,,,
406,"0,406","0,62","7,52",,,,
401,"0,401","0,62","7,71",,,,
408,"0,408","0,62","7,45",,,,
409,"0,409","0,62","7,41",,,,
407,"0,407","0,62","7,49",,,,
403,"0,403","0,62","7,64",,,,
391,"0,391","0,62","8,11",,,,
393,"0,393","0,62","8,03",,,,
397,"0,397","0,62","7,87",,,,
402,"0,402","0,62","7,67",,,,
393,"0,393","0,62","8,03",,,,
405,"0,405","0,62","7,56",,,,
409,"0,409","0,62","7,41",,,,
406,"0,406","0,62","7,52",,,,
391,"0,391","0,62","8,11",,,,
391,"0,391","0,62","8,11",,,,
406,"0,406","0,62","7,52",,,,
393,"0,393","0,62","8,03",,,,
393,"0,393","0,62","8,03",,,,
404,"0,404","0,62","7,60",,,,
394,"0,394","0,62","7,99",,,,
408,"0,408","0,62","7,45",,,,
399,"0,399","0,62","7,79",,,,
401,"0,401","0,62","7,71",,,,
399,"0,399","0,62","7,79",,,,
401,"0,401","0,62","7,71",,,,
390,"0,390","0,62","8,15",,,,
408,"0,408","0,62","7,45",,,,
398,"0,398","0,62","7,83",,,,
395,"0,395","0,62","7,95",,,,
391,"0,391","0,62","8,11",,,,
391,"0,391","0,62","8,11",,,,
406,"0,406","0,62","7,52",,,,
406,"0,406","0,62","7,52",,,,
398,"0,398","0,62","7,83",,,,
398,"0,398","0,62","7,83",,,,
407,"0,407","0,62","7,49",,,,
396,"0,396","0,62","7,91",,,,
390,"0,390","0,62","8,15",,,,
395,"0,395","0,62","7,95",,,,
395,"0,395","0,62","7,95",,,,
392,"0,392","0,62","8,07",,,,
396,"0,396","0,62","7,91",,,,
398,"0,398","0,62","7,83",,,,
403,"0,403","0,62","7,64",,,,
396,"0,396","0,62","7,91",,,,
393,"0,393","0,62","8,03",,,,
391,"0,391","0,62","8,11",,,,
409,"0,409","0,62","7,41",,,,
402,"0,402","0,62","7,67",,,,
395,"0,395","0,62","7,95",,,,
394,"0,394","0,62","7,99",,,,
403,"0,403","0,62","7,64",,,,
400,"0,400","0,62","7,75",,,,
408,"0,408","0,62","7,45",,,,
392,"0,392","0,62","8,07",,,,
402,"0,402","0,62","7,67",,,,
400,"0,400","0,62","7,75",,,,
407,"0,407","0,62","7,49",,,,
390,"0,390","0,62","8,15",,,,
398,"0,398","0,62","7,83",,,,
392,"0,392","0,62","8,07",,,,
410,"0,410","0,62","7,38",,,,
407,"0,407","0,62","7,49",,,,
394,"0,394","0,62","7,99",,,,
404,"0,404","0,62","7,60",,,,
403,"0,403","0,62","7,64",,,,
397,"0,397","0,62","7,87",,,,
397,"0,397","0,62","7,87",,,,
401,"0,401","0,62","7,71",,,,
409,"0,409","0,62","7,41",,,,
404,"0,404","0,62","7,60",,,,
394,"0,394","0,62","7,99",,,,
403,"0,403","0,62","7,64",,,,
404,"0,404","0,62","7,60",,,,
402,"0,402","0,62","7,67",,,,
391,"0,391","0,62","8,11",,,,
392,"0,392","0,62","8,07",,,,
395,"0,395","0,62","7,95",,,,
396,"0,396","0,62","7,91",,,,
397,"0,397","0,62","7,87",,,,
394,"0,394","0,62","7,99",,,,
397,"0,397","0,62","7,87",,,,
407,"0,407","0,62","7,49",,,,
399,"0,399","0,62","7,79",,,,
395,"0,395","0,62","7,95",,,,
402,"0,402","0,62","7,67",,,,
395,"0,395","0,62","7,95",,,,
392,"0,392","0,62","8,07",,,,
392,"0,392","0,62","8,07",,,,
402,"0,402","0,62","7,67",,,,
403,"0,403","0,62","7,64",,,,
400,"0,400","0,62","7,75",,,,
409,"0,409","0,62","7,41",,,,
397,"0,397","0,62","7,87",,,,
403,"0,403","0,62","7,64",,,,
391,"0,391","0,62","8,11",,,,
391,"0,391","0,62","8,11",,,,
389,"0,389","0,62","8,19",,,,
392,"0,392","0,62","8,07",,,,
396,"0,396","0,62","7,91",,,,
395,"0,395","0,62","7,95",,,,
399,"0,399","0,62","7,79",,,,
408,"0,408","0,62","7,45",,,,
400,"0,400","0,62","7,75",,,,
401,"0,401","0,62","7,71",,,,
396,"0,396","0,62","7,91",,,,
389,"0,389","0,62","8,19",,,,
397,"0,397","0,62","7,87",,,,
402,"0,402","0,62","7,67",,,,
397,"0,397","0,62","7,87",,,,
407,"0,407","0,62","7,49",,,,
400,"0,400","0,62","7,75",,,,
385,"0,385","0,62","8,37",,,,
395,"0,395","0,62","7,95",,,,
398,"0,398","0,62","7,83",,,,
406,"0,406","0,62","7,52",,,,
399,"0,399","0,62","7,79",,,,
389,"0,389","0,62","8,19",,,,
402,"0,402","0,62","7,67",,,,
409,"0,409","0,62","7,41",,,,
390,"0,390","0,62","8,15",,,,
404,"0,404","0,62","7,60",,,,
395,"0,395","0,62","7,95",,,,
394,"0,394","0,62","7,99",,,,
394,"0,394","0,62","7,99",,,,
407,"0,407","0,62","7,49",,,,
393,"0,393","0,62","8,03",,,,
402,"0,402","0,62","7,67",,,,
402,"0,402","0,62","7,67",,,,
395,"0,395","0,62","7,95",,,,
399,"0,399","0,62","7,79",,,,
398,"0,398","0,62","7,83",,,,
399,"0,399","0,62","7,79",,,,
407,"0,407","0,62","7,49",,,,
405,"0,405","0,62","7,56",,,,
408,"0,408","0,62","7,45",,,,
407,"0,407","0,62","7,49",,,,
400,"0,400","0,62","7,75",,,,
397,"0,397","0,62","7,87",,,,
387,"0,387","0,62","8,28",,,,
389,"0,389","0,62","8,19",,,,
402,"0,402","0,62","7,67",,,,
401,"0,401","0,62","7,71",,,,
396,"0,396","0,62","7,91",,,,
384,"0,384","0,62","8,41",,,,
397,"0,397","0,62","7,87",,,,
401,"0,401","0,62","7,71",,,,
406,"0,406","0,62","7,52",,,,
392,"0,392","0,62","8,07",,,,
390,"0,390","0,62","8,15",,,,
391,"0,391","0,62","8,11",,,,
403,"0,403","0,62","7,64",,,,
399,"0,399","0,62","7,79",,,,
405,"0,405","0,62","7,56",,,,
396,"0,396","0,62","7,91",,,,
402,"0,402","0,62","7,67",,,,
404,"0,404","0,62","7,60",,,,
405,"0,405","0,62","7,56",,,,
407,"0,407","0,62","7,49",,,,
397,"0,397","0,62","7,87",,,,
402,"0,402","0,62","7,67",,,,
394,"0,394","0,62","7,99",,,,
393,"0,393","0,62","8,03",,,,
388,"0,388","0,62","8,24",,,,
394,"0,394","0,62","7,99",,,,
397,"0,397","0,62","7,87",,,,
406,"0,406","0,62","7,52",,,,
392,"0,392","0,62","8,07",,,,
400,"0,400","0,62","7,75",,,,
408,"0,408","0,62","7,45",,,,
390,"0,390","0,62","8,15",,,,
401,"0,401","0,62","7,71",,,,
399,"0,399","0,62","7,79",,,,
389,"0,389","0,62","8,19",,,,
398,"0,398","0,62","7,83",,,,
394,"0,394","0,62","7,99",,,,
389,"0,389","0,62","8,19",,,,
381,"0,381","0,62","8,54",,,,
403,"0,403","0,62","7,64",,,,
399,"0,399","0,62","7,79",,,,
405,"0,405","0,62","7,56",,,,
402,"0,402","0,62","7,67",,,,
390,"0,390","0,62","8,15",,,,
402,"0,402","0,62","7,67",,,,
399,"0,399","0,62","7,79",,,,
393,"0,393","0,62","8,03",,,,
401,"0,401","0,62","7,71",,,,
391,"0,391","0,62","8,11",,,,
390,"0,390","0,62","8,15",,,,