Tempo (s),Altura (m),g (m/sÂ²),,,Tempo,Gravidade
"0,74","1,00","3,65",,Media,"0,54","8,78"
"0,87","1,00","2,64",,Desv Pad,"0,15","5,39"
"0,54","1,00","6,86",,med_sup,"0,69","4,22"
"0,68","1,00","4,33",,med_inf,"0,38","13,52"
"0,35","1,00","16,33",,med,"0,54","6,94"
"0,49","1,00","8,33",,,med,"8,22"
"0,55","1,00","6,61",,,desv pad,"4,78"
"0,35","1,00","16,33",,,,
"0,62","1,00","5,20",,,,
"0,61","1,00","5,37",,,,
"0,35","1,00","16,33",,,,
"0,47","1,00","9,05",,,,
"0,48","1,00","8,68",,,,
"0,42","1,00","11,34",,,,
"0,54","1,00","6,86",,,,
"0,48","1,00","8,68",,,,
"0,29","1,00","23,78",,,,
"0,62","1,00","5,20",,,,
"0,62","1,00","5,20",,,,
"0,48","1,00","8,68",,,,
"0,35","1,00","16,33",,,,
"0,55","1,00","6,61",,,,
"0,55","1,00","6,61",,,,
"0,47","1,00","9,05", ,,,
"0,47","1,00","9,05",,,,
"0,75","1,00","3,56",,,,
"0,62","1,00","5,20",,,,
"0,28","1,00","25,51",,,,
"0,55","1,00","6,61",,,,
"0,60","1,00","5,56",,,,
"0,48","1,00","8,68",,,,
"0,62","1,00","5,20",,,,
"1,02","1,00","1,92",,,,
"0,41","1,00","11,90",,,,
"0,60","1,00","5,56",,,,
"0,68","1,00","4,33",,,,
"0,55","1,00","6,61",,,,
"0,41","1,00","11,90",,,,
"0,35","1,00","16,33",,,,
"0,61","1,00","5,37",,,,